original_description,expanded_query,compliance_status,confidence_level,compliance_reasoning,recommendations,answer,references,Score
NBFS-DigID Factors: POSSESSION: BnkAccnt or PSPAccnt (primary & secondaries),"What are the requirements and minimum elements related to the Possession Factor Group, specifically for bank accounts and payment service provider accounts (primary and secondary), as outlined in the Digital Financial Technology Regulations?",Insufficient Information,Low,The company's documented answer explicitly states that it lacks specific details regarding the requirements and minimum elements related to the Possession Factor Group for bank accounts and payment service provider accounts as outlined in the regulations. This lack of information makes it impossible to determine compliance with the necessary requirements.,"The company should provide detailed documentation outlining how their practices align with the requirements for the Possession Factor Group, including examples of how each required element (e.g., identity document, email account, etc.) is implemented and maintained in their processes.","The provided context does not contain specific details regarding the requirements and minimum elements related to the Possession Factor Group for bank accounts and payment service provider accounts as outlined in the Digital Financial Technology Regulations. Therefore, I cannot provide that information.",54794e6c-5c1f-4b2b-ab88-b700f005ae58; d4a2294f-a26b-432f-b137-ed86772067a2; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; db80b2bc-8967-4e86-8725-610c615154e9; 0eac2690-da5d-4cce-824d-76b51bcbfe15; edc87a10-2155-4e98-8053-b0a1434c172b; de8dc633-b7a6-4052-a58a-d20acb4f399b; ff9abf3d-4272-46e7-abb1-5467266b846b; a0ca1eef-03a8-4e1a-a16a-55e985b6f912; f0c3a3ac-10f1-4d7c-8217-cb4976628492,0
NBFS-DigID Factors: POSSESSION: eSig (primary & secondaries),What are the requirements and processes involved in ensuring primary and secondary certified electronic signatures as part of the Possession factor group for digital identity verification in compliance with the Digital Financial Technology Regulations?,Insufficient Information,Low,The company's documented answer does not provide any specific information regarding the requirements and processes necessary to ensure primary and secondary certified electronic signatures as part of the Possession factor group for digital identity verification. This lack of detail prevents a full assessment of compliance with the requirements outlined in the Digital Financial Technology Regulations.,"To achieve compliance, the company should provide detailed documentation on the processes used to implement and validate primary and secondary certified electronic signatures, including any systems, protocols, or certifications utilized in meeting the Possession factor group requirements.",The provided context does not specify the requirements and processes for ensuring primary and secondary certified electronic signatures as part of the Possession factor group for digital identity verification in compliance with the Digital Financial Technology Regulations.,d4a2294f-a26b-432f-b137-ed86772067a2; ff9abf3d-4272-46e7-abb1-5467266b846b; 3a69805b-07ac-43b4-9662-efa217273531; edc87a10-2155-4e98-8053-b0a1434c172b; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; de8dc633-b7a6-4052-a58a-d20acb4f399b; 0640c22c-1f0a-45ad-9046-d5891fe03f08; db80b2bc-8967-4e86-8725-610c615154e9; 0ef7e1ba-491b-48a2-9f03-edc9d5b20d7d; 98f831cd-b9a5-4925-8f61-a47bf40091eb,0
NBFS-DigID Factors: EXISTANCE,"What specific measures are in place to ensure the existence of the NBFS-DigID Factors in compliance with the requirements for digital identity creation and renewal, as outlined in the Digital Financial Technology Regulations?",Compliant,High,"The company's documented practices include advanced security protocols aligning with the detailed requirements of the Digital Financial Technology Regulations. They address the completion of identification, verification, and authentication processes for digital identity creation and renewal, utilizing the necessary qualitative factors from the specified groups. The measures mentioned—eKYC, ID document scanning, OCR detection, validity verification, and facial recognition—demonstrate adherence to the regulatory framework.",None required.,"The specific measures in place to ensure the existence of the NBFS-DigID Factors in compliance with the Digital Financial Technology Regulations for digital identity creation and renewal include implementing advanced security protocols such as the Know Your Client (eKYC) process, which involves ID document scanning, OCR detection, validity verification, and facial recognition matching. Additionally, robust encryption standards are applied for data at rest and in transit, and a mobile application is utilized to manage user onboarding while ensuring secure authentication mechanisms are in place, all of which align with regulatory requirements.",d4a2294f-a26b-432f-b137-ed86772067a2; edc87a10-2155-4e98-8053-b0a1434c172b; ff9abf3d-4272-46e7-abb1-5467266b846b; de8dc633-b7a6-4052-a58a-d20acb4f399b; eda8380f-4a0a-457f-98ae-0cec58b4dc4f; db80b2bc-8967-4e86-8725-610c615154e9; 55f0a523-eaec-4e6a-89aa-cabf9164ec36; 3a69805b-07ac-43b4-9662-efa217273531; 9dc3542c-9f7e-4c1a-b5f1-63138dde4f7c; f0c3a3ac-10f1-4d7c-8217-cb4976628492,1
NBFS-DigID Factors: EXISTANCE: BioID,What are the specific biometric characteristics used for the BioID factor in the NBFS-DigID framework to ensure the existence of digital identity?,Insufficient Information,Low,"The company's documented answer explicitly states that it does not provide specific biometric characteristics for the BioID factor in the NBFS-DigID framework. This lack of information means it is not possible to confirm compliance with the requirement, as the specific biometric characteristics are essential for the existence of digital identity.",The company needs to provide documentation or evidence detailing the specific biometric characteristics utilized for the BioID factor as required by the compliance framework.,The provided context does not specify the specific biometric characteristics used for the BioID factor in the NBFS-DigID framework to ensure the existence of digital identity.,edc87a10-2155-4e98-8053-b0a1434c172b; de8dc633-b7a6-4052-a58a-d20acb4f399b; 98f831cd-b9a5-4925-8f61-a47bf40091eb; a0ca1eef-03a8-4e1a-a16a-55e985b6f912; 4bbcc0f7-8686-41f4-813e-5e846320dac6; db80b2bc-8967-4e86-8725-610c615154e9; c643411b-b3bb-4373-889c-775926a91afd; 0b51a03d-7754-4e1f-af2c-b124d0e35560; f0c3a3ac-10f1-4d7c-8217-cb4976628492; 0640c22c-1f0a-45ad-9046-d5891fe03f08,0
NBFS-DigID Factors: EXISTANCE: BioID: FaceScan,"What documentation and evidence exist to confirm the implementation and existence of the Biometric identification process, specifically relating to FaceScan, as part of the NBFS-DigID program's compliance requirements?",Compliant,High,"The company's documented answer provides detailed information regarding the implementation of the biometric identification process, specifically the FaceScan component, as part of the NBFS-DigID program. It references the GateID platform's eKYC features, including facial recognition and fraud detection, and mentions comprehensive documentation that addresses how biometric data is secured. This aligns well with the compliance requirements outlined in the legal framework.",None required.,"The documentation and evidence regarding the implementation of the biometric identification process, specifically relating to FaceScan, as part of the NBFS-DigID program's compliance requirements can be found within the detailed descriptions of the GateID platform's eKYC component, which includes functionalities for scanning ID documents, performing facial recognition by matching selfie photos with ID photos, and conducting fraud detection. Additionally, the comprehensive architecture description and compliance details in the Optomatica documentation provide insight into how biometric data is handled and secured within the overall system.",edc87a10-2155-4e98-8053-b0a1434c172b; db80b2bc-8967-4e86-8725-610c615154e9; 0ef7e1ba-491b-48a2-9f03-edc9d5b20d7d; 55f0a523-eaec-4e6a-89aa-cabf9164ec36; 9dc3542c-9f7e-4c1a-b5f1-63138dde4f7c; 0b51a03d-7754-4e1f-af2c-b124d0e35560; eda8380f-4a0a-457f-98ae-0cec58b4dc4f; de8dc633-b7a6-4052-a58a-d20acb4f399b; 98f831cd-b9a5-4925-8f61-a47bf40091eb; a0ca1eef-03a8-4e1a-a16a-55e985b6f912,1
NBFS-DigID Factors: EXISTANCE: BioID: FngPrntScan,"Is there documentation confirming the implementation and existence of biometric identification processes, specifically focusing on fingerprint scanning, in the context of Digital Financial Technology compliance with the standards outlined in the Digital Identity Controls?",Non-Compliant,High,"The company's documented answer explicitly states that there is no mention of the implementation or existence of biometric identification processes such as fingerprint scanning, which is a clear requirement under the Digital Identity Controls for compliance in Digital Financial Technology. This contradiction to the requirement signals non-compliance.","The company should implement and document biometric identification processes, specifically fingerprint scanning, and provide evidence of this implementation, such as policies, procedures, system configurations, or audit logs demonstrating compliance with the Digital Identity Controls.","The provided context does not mention the implementation or existence of biometric identification processes such as fingerprint scanning, nor does it reference any documentation related to Digital Financial Technology compliance with standards outlined in Digital Identity Controls.",db80b2bc-8967-4e86-8725-610c615154e9; 98f831cd-b9a5-4925-8f61-a47bf40091eb; edc87a10-2155-4e98-8053-b0a1434c172b; de8dc633-b7a6-4052-a58a-d20acb4f399b; 3a69805b-07ac-43b4-9662-efa217273531; 0b51a03d-7754-4e1f-af2c-b124d0e35560; a0ca1eef-03a8-4e1a-a16a-55e985b6f912; 55f0a523-eaec-4e6a-89aa-cabf9164ec36; eda8380f-4a0a-457f-98ae-0cec58b4dc4f; ff9abf3d-4272-46e7-abb1-5467266b846b,0
NBFS-DigID Factors: EXISTANCE: BioID: VoiceScan,What documentation and evidence exist to confirm that the BioID VoiceScan component of the NBFS-DigID factors is in place and meets the required digital identity authentication criteria outlined in the Digital Financial Technology Regulations?,Insufficient Information,Low,The company's documented answer clearly states that there is no information related to the BioID VoiceScan component or its compliance with the Digital Financial Technology Regulations. This lack of evidence prevents a determination of compliance with the outlined requirements.,The company should provide documentation or evidence demonstrating that the BioID VoiceScan component is in place and meets the authentication criteria specified in the regulations. This includes details on how the component fulfills the multi-factor requirements and its integration with the Digital Identity process.,"The provided context does not include any information regarding the BioID VoiceScan component of the NBFS-DigID factors or its compliance with the Digital Financial Technology Regulations, and thus I cannot confirm the documentation or evidence related to it.",edc87a10-2155-4e98-8053-b0a1434c172b; db80b2bc-8967-4e86-8725-610c615154e9; de8dc633-b7a6-4052-a58a-d20acb4f399b; eda8380f-4a0a-457f-98ae-0cec58b4dc4f; 98f831cd-b9a5-4925-8f61-a47bf40091eb; 3a69805b-07ac-43b4-9662-efa217273531; 0b51a03d-7754-4e1f-af2c-b124d0e35560; d4a2294f-a26b-432f-b137-ed86772067a2; f0c3a3ac-10f1-4d7c-8217-cb4976628492; a0ca1eef-03a8-4e1a-a16a-55e985b6f912,0
NBFS-DigID Factors: EXISTANCE: BioID: RtnScan,What documentation exists to verify the existence and implementation of the BioID feature concerning the RtnScan process within the NBFS-DigID framework?,Insufficient Information,Low,"The company's documented answer indicates a lack of specific documentation or details regarding the existence and implementation of the BioID feature related to the RtnScan process within the NBFS-DigID framework. Without such evidence, it's challenging to assess compliance with the requirement.","The company should provide detailed documentation that verifies the existence and implementation of the BioID feature in relation to the RtnScan process, including implementation records, operational policies, and any relevant testing or validation results.",The provided context does not contain any specific documentation or details regarding the existence and implementation of a BioID feature related to the RtnScan process within the NBFS-DigID framework.,edc87a10-2155-4e98-8053-b0a1434c172b; db80b2bc-8967-4e86-8725-610c615154e9; de8dc633-b7a6-4052-a58a-d20acb4f399b; 55f0a523-eaec-4e6a-89aa-cabf9164ec36; 0ef7e1ba-491b-48a2-9f03-edc9d5b20d7d; 9dc3542c-9f7e-4c1a-b5f1-63138dde4f7c; 98f831cd-b9a5-4925-8f61-a47bf40091eb; 0f81d73f-2e2b-4ce4-bccc-f36725cad694; eda8380f-4a0a-457f-98ae-0cec58b4dc4f; 4bbcc0f7-8686-41f4-813e-5e846320dac6,0
NBFS-DigID Factors: EXISTANCE: BioID: other,"What specific biometric identification methods are in place for Digital Identity Frameworks, focusing on the existence and application of biometric factors such as face recognition, voice recognition, and fingerprints?",Partially Compliant,Medium,"The company's documented answer states the use of face recognition as a biometric identification method, which aligns with the requirement. However, it explicitly does not mention voice recognition or fingerprints, leaving significant gaps in the compliance with the requirement for multiple biometric factors as specified in the Digital Financial Technology Regulations.","The company should expand its documentation to include or clarify the potential use of additional biometric methods such as voice recognition and fingerprints, or provide justification for their absence in the framework.","The Digital Identity Frameworks primarily utilize biometric identification methods such as face recognition, which involves matching a selfie photo with the ID photo for verification purposes, and does not mention the use of voice recognition or fingerprints.",de8dc633-b7a6-4052-a58a-d20acb4f399b; edc87a10-2155-4e98-8053-b0a1434c172b; c643411b-b3bb-4373-889c-775926a91afd; a0ca1eef-03a8-4e1a-a16a-55e985b6f912; 0de8b7e8-98f3-4a4e-9943-97fce04dc2a8; d4a2294f-a26b-432f-b137-ed86772067a2; db80b2bc-8967-4e86-8725-610c615154e9; 98f831cd-b9a5-4925-8f61-a47bf40091eb; 54794e6c-5c1f-4b2b-ab88-b700f005ae58; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022,1
NBFS-DigID Factors: EXISTANCE: Liveliness,"What measures are in place to verify the existence and liveliness of digital identities in compliance with the Digital Identity Controls, specifically focusing on the required biometric characteristics, vitality reactions, and geographic location identifiers?",Compliant,High,"The company’s documented practices include capturing biometric characteristics through a selfie matching process, performing liveness checks, and utilizing geographic location identifiers during onboarding, which aligns with the compliance requirements for verifying the existence and liveliness of digital identities. The response fully addresses the key elements outlined in the Digital Identity Controls.",None required.,"The GateID system employs a mobile application (or SDK within partner applications) that captures ID information, conducts ID scanning, and performs selfie liveness checks to verify user identities. This process includes assessing biometric characteristics through the selfie matching with the ID photo, implementing vitality reactions to detect if the photo is live, and ensuring geographic location identifiers are used during onboarding steps to validate user authenticity and compliance with digital identity controls.",0b51a03d-7754-4e1f-af2c-b124d0e35560; edc87a10-2155-4e98-8053-b0a1434c172b; de8dc633-b7a6-4052-a58a-d20acb4f399b; eda8380f-4a0a-457f-98ae-0cec58b4dc4f; d4a2294f-a26b-432f-b137-ed86772067a2; f0c3a3ac-10f1-4d7c-8217-cb4976628492; 9dc3542c-9f7e-4c1a-b5f1-63138dde4f7c; 4bbcc0f7-8686-41f4-813e-5e846320dac6; db80b2bc-8967-4e86-8725-610c615154e9; 0ef7e1ba-491b-48a2-9f03-edc9d5b20d7d,1
NBFS-DigID Factors: EXISTANCE: Livelines: Video,What measures are in place to ensure the existence of live video feeds as part of the Digital Identity Process under the NBFS-DigID Factors?,Unknown,Unknown,Unable to parse response,Unable to parse response,"The Digital Identity Process under the NBFS-DigID Factors ensures the existence of live video feeds by implementing selfie validation mechanisms that are part of the mobile application or SDK. This process includes liveness checks during the identity verification, which help confirm that the user is present and actively engaging in the verification process, thereby ensuring the authenticity of the video feed being captured.",edc87a10-2155-4e98-8053-b0a1434c172b; de8dc633-b7a6-4052-a58a-d20acb4f399b; 9dc3542c-9f7e-4c1a-b5f1-63138dde4f7c; f0c3a3ac-10f1-4d7c-8217-cb4976628492; 55f0a523-eaec-4e6a-89aa-cabf9164ec36; eda8380f-4a0a-457f-98ae-0cec58b4dc4f; 4bbcc0f7-8686-41f4-813e-5e846320dac6; 0ef7e1ba-491b-48a2-9f03-edc9d5b20d7d; d4a2294f-a26b-432f-b137-ed86772067a2; 0640c22c-1f0a-45ad-9046-d5891fe03f08,0
NBFS-DigID Factors: EXISTANCE: Liveliness: Rsp2RndmInstrctns,"What documentation exists regarding the implementation and verification of the ""Liveliness"" factor as part of the digital identity controls, specifically in the context of random instruction responses under the NBFS-DigID Factors criteria?",Insufficient Information,Low,"The company's response explicitly states that there is no specific documentation or details provided regarding the implementation and verification of the ""Liveliness"" factor, which is a key component of the compliance requirement. Without this evidence, it is impossible to determine if the requirement is met.","The company should provide detailed documentation outlining their processes for implementing and verifying the ""Liveliness"" factor, particularly in relation to random instruction responses, to assess compliance accurately.","The provided context does not contain specific documentation or details regarding the implementation and verification of the ""Liveliness"" factor as part of the digital identity controls, particularly in relation to random instruction responses under the NBFS-DigID Factors criteria.",de8dc633-b7a6-4052-a58a-d20acb4f399b; 0b51a03d-7754-4e1f-af2c-b124d0e35560; edc87a10-2155-4e98-8053-b0a1434c172b; 55f0a523-eaec-4e6a-89aa-cabf9164ec36; d4a2294f-a26b-432f-b137-ed86772067a2; 0ef7e1ba-491b-48a2-9f03-edc9d5b20d7d; eda8380f-4a0a-457f-98ae-0cec58b4dc4f; 9dc3542c-9f7e-4c1a-b5f1-63138dde4f7c; 83e7ff8e-95a1-4a61-8d6a-6a83ac707022; 4bbcc0f7-8686-41f4-813e-5e846320dac6,0
